id,cntry,stflife,happy,fltsd,fltdpr,enjlf,wrhpp,fltanx,fltpcfl,dclvlf,lchshcp,accdng,tmimdng,tmabdng,tmendng,dngval,sedirlf,optftr,lotsgot,pstvms,flrms,wrbknrm,deaimpp,flteeff,slprl,cldgng,enrglot,ppltrst,pplfair,pplhlp,pplahlp,flclpla,inprdsc,flapppl,rehlppl,fltlnl
12511,HU,10,10,2,3,2,3,2,3,2,4,3,4,4,2,2,5,2,2,2,4,5,2,3,2,3,2,3,1,8,5,1,1,10,6,1
12512,HU,10,10,1,1,4,4,1,4,1,4,1,9,9,9,1,8,1,1,1,5,5,8,1,2,1,4,5,9,5,6,1,4,10,6,1
12515,HU,8,9,1,1,3,3,1,4,2,4,2,9,9,9,2,7,1,1,1,5,4,5,1,1,1,3,7,9,8,5,1,1,9,6,2
12519,HU,4,10,1,1,4,4,1,4,1,5,1,10,10,10,1,10,1,1,1,5,2,5,1,1,2,1,6,5,3,3,2,3,10,6,1
12521,HU,6,5,1,1,2,2,1,3,2,2,3,9,9,9,4,7,3,4,3,3,3,3,1,1,1,3,3,5,4,3,2,1,8,6,2
12523,HU,1,3,2,3,2,3,2,3,2,2,2,8,8,8,2,7,2,2,2,4,2,5,3,3,3,2,4,0,3,6,2,2,9,6,2
12524,HU,5,8,3,3,2,2,2,2,2,4,4,5,5,5,3,5,3,4,4,2,1,0,3,3,3,1,0,2,1,2,3,1,7,5,2
12525,HU,1,4,2,2,2,3,3,2,5,4,5,5,5,5,5,0,5,3,3,2,1,1,2,3,2,1,0,4,5,3,4,4,7,2,3
12526,HU,8,9,1,1,3,3,2,3,1,2,2,9,10,9,2,10,2,2,2,4,4,8,1,2,1,1,7,7,6,6,2,1,9,6,1
12527,HU,8,8,1,1,3,3,1,3,3,3,2,8,8,8,3,8,2,3,2,4,3,,1,1,1,2,5,5,3,6,3,2,,6,1
12528,HU,2,2,2,3,2,2,3,2,4,3,3,6,6,6,2,5,4,2,4,3,5,5,3,4,2,2,4,4,3,4,3,2,6,3,3
12529,HU,8,7,1,2,2,3,,3,3,3,,8,8,8,,5,3,3,3,4,4,6,,2,1,1,6,6,4,6,3,2,8,6,1
12530,HU,6,7,1,1,2,3,1,3,3,3,3,8,7,7,3,6,3,2,3,4,4,5,1,2,1,,5,7,5,5,2,1,,6,1
12531,HU,4,5,,2,,,,,3,3,4,4,4,4,3,3,3,3,4,4,3,5,2,2,2,1,6,5,5,5,3,2,8,5,1
12532,HU,6,5,2,2,3,3,1,3,3,2,3,5,6,7,3,8,3,3,3,4,4,6,1,2,1,2,5,5,3,5,3,2,8,6,1
12533,HU,5,5,1,1,2,3,1,3,3,3,3,,6,4,3,5,3,3,3,4,4,6,1,2,2,2,5,5,5,5,2,1,,5,1
12535,HU,6,4,2,2,,,,3,3,3,4,3,3,3,,4,4,3,4,3,3,5,1,1,2,3,3,9,5,4,2,2,,5,1
12536,HU,6,7,1,2,3,3,1,3,3,3,3,5,5,5,3,6,3,3,3,4,4,5,1,2,1,2,5,5,3,4,2,2,8,6,1
12537,HU,9,9,1,1,4,4,2,4,1,4,1,9,9,9,1,10,2,2,2,5,5,9,1,2,1,3,5,5,5,3,2,3,9,6,1
12538,HU,8,8,1,1,3,3,1,3,1,4,1,10,10,10,1,10,2,2,2,4,4,8,1,1,1,3,8,7,6,5,2,3,9,6,1
12539,HU,10,10,1,1,3,4,1,4,1,5,1,10,10,10,1,10,1,2,1,5,5,10,1,2,1,4,2,7,0,2,1,2,10,6,1
12540,HU,6,8,2,1,2,3,1,3,3,3,3,0,0,0,2,5,2,2,3,3,4,2,1,2,1,2,4,4,5,5,2,2,9,5,3
12542,HU,9,8,1,2,1,3,3,1,2,2,3,7,7,7,4,7,2,3,2,4,4,7,2,2,1,2,2,8,0,2,2,2,10,6,1
12543,HU,1,3,2,1,2,2,2,2,3,3,3,9,9,8,3,5,4,3,3,3,3,5,1,1,2,2,5,5,5,4,2,2,7,5,2
12545,HU,10,10,1,1,4,4,1,4,1,4,1,10,10,10,1,10,1,1,1,5,5,10,1,1,1,4,8,7,2,5,1,3,10,6,1
12548,HU,8,10,1,2,4,4,3,4,1,5,1,9,9,9,1,10,1,2,2,5,5,10,1,2,1,2,6,8,2,2,1,2,10,6,1
12549,HU,10,8,1,1,3,3,1,4,1,4,2,8,8,8,2,8,1,2,2,4,5,8,1,1,1,2,7,6,6,6,2,3,10,6,1
12551,HU,5,5,2,4,2,2,1,2,3,3,3,8,8,8,2,7,2,3,3,4,3,8,3,3,3,2,5,7,4,4,2,4,8,4,2
12552,HU,3,5,2,2,2,4,2,2,2,1,2,7,7,8,1,5,1,2,3,2,3,5,2,2,2,2,5,8,5,3,2,1,9,4,1
12553,HU,8,6,1,3,2,2,1,3,2,3,4,10,10,10,4,10,2,4,2,4,4,9,3,3,1,2,8,8,8,6,2,2,10,6,1
12554,HU,6,7,1,2,2,3,1,3,3,4,3,10,10,10,3,5,3,3,3,3,4,3,2,1,1,2,8,5,8,4,2,1,5,6,1
12556,HU,10,5,2,2,3,3,2,3,3,3,1,5,10,10,1,5,3,1,1,5,1,5,3,1,1,1,0,10,2,2,1,6,3,3,1
12559,HU,0,0,4,3,1,2,3,1,5,1,5,5,10,5,5,0,5,5,5,5,5,0,3,3,4,3,10,8,7,6,1,0,7,6,4
12562,HU,4,4,2,3,3,3,3,2,2,3,2,7,6,6,3,6,4,3,4,4,3,7,2,3,3,3,6,7,7,3,2,3,7,4,2
12563,HU,8,7,3,2,3,3,2,4,2,1,1,9,9,9,2,9,2,2,1,5,5,5,1,2,1,4,7,8,8,3,1,2,9,6,1
12564,HU,3,6,2,2,4,4,1,1,5,4,4,4,5,5,2,4,2,3,2,5,4,5,2,2,1,3,0,0,0,1,2,1,6,2,1
12567,HU,3,3,2,3,2,3,2,2,3,3,2,5,5,5,2,7,3,2,4,3,2,6,3,2,3,2,5,5,7,3,3,2,6,5,3
12571,HU,4,3,3,4,2,2,3,2,3,2,3,5,5,5,4,2,5,3,5,3,2,0,4,4,3,1,3,3,8,4,2,0,10,1,2
12572,HU,8,6,2,1,3,2,2,3,1,3,2,10,10,10,1,8,2,2,2,4,4,5,1,1,2,4,7,5,6,6,3,1,10,6,1
12573,HU,2,2,1,1,2,2,2,3,3,3,4,2,2,1,4,0,3,3,3,3,2,0,1,1,2,4,7,7,7,3,4,3,3,3,2
12574,HU,2,2,2,1,3,2,2,3,1,2,4,2,2,2,4,2,2,4,2,3,3,0,1,1,2,3,5,5,5,2,2,2,2,0,1
12575,HU,7,9,1,1,4,4,2,3,1,4,2,10,10,10,2,10,2,2,2,5,4,6,1,2,1,3,6,7,7,6,2,2,10,6,1
12576,HU,0,0,4,4,1,1,4,2,5,2,5,1,1,0,4,0,5,5,5,1,5,0,4,4,4,1,4,4,5,0,3,0,,0,4
12580,HU,9,9,1,1,3,3,2,3,1,5,4,9,9,7,3,10,1,1,1,5,5,5,2,3,1,2,7,7,5,6,3,4,8,6,1
12588,HU,3,1,3,3,1,2,2,1,1,2,1,5,5,5,2,7,3,4,3,4,2,8,3,3,3,2,8,7,5,6,1,6,5,3,2
12589,HU,6,7,1,2,1,1,3,3,3,2,2,6,6,6,3,8,3,2,3,4,4,6,1,2,1,3,3,2,4,4,2,1,10,4,3
12591,HU,7,10,1,1,3,3,1,3,2,4,2,5,5,5,3,10,1,2,2,5,5,5,1,2,1,4,4,4,2,2,2,1,5,4,1
12592,HU,7,8,2,2,3,3,1,2,2,2,2,6,6,6,2,8,2,3,2,5,4,6,1,1,1,3,5,7,2,4,3,1,8,6,1
12593,HU,4,6,2,2,2,1,3,1,4,1,5,3,3,1,3,3,4,4,4,2,2,3,2,2,2,2,3,3,0,0,5,0,0,3,3
12594,HU,8,8,2,1,3,3,2,3,2,3,2,7,7,8,2,8,3,2,3,4,4,3,1,1,1,3,6,7,6,3,3,1,7,5,1
12595,HU,3,2,3,3,1,2,3,2,5,2,4,6,6,3,4,5,4,3,4,2,1,3,3,3,3,1,3,3,3,3,5,0,3,2,2
12597,HU,8,6,2,2,3,3,1,3,3,3,2,6,5,6,3,8,2,2,3,4,4,6,1,2,1,3,5,5,7,4,2,1,5,5,1
12599,HU,6,8,1,1,3,3,2,3,2,3,2,8,8,8,1,8,2,2,2,5,3,5,1,2,1,3,0,0,0,5,3,0,8,5,2
12602,HU,8,8,1,2,3,3,1,3,2,2,2,7,8,8,3,8,2,3,2,5,3,6,2,2,1,3,2,5,6,4,2,1,7,6,1
12604,HU,10,8,1,1,3,3,1,3,2,2,2,9,9,7,1,7,3,2,4,4,4,6,1,2,1,3,6,7,5,4,3,2,8,4,1
